Number,Event Name,ID,Status,Venue,Date
24,"Nakshatra, Navagraha & Mrityunjaya Homam",Ps41fOEDBDjIDzbQ4xIm,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-18T16:30:00Z
25,Gomatha & Mahanyasam Parayanam,R5vyGdd3iy4VPg9SYkjJ,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-19T13:00:00Z
26,Gomatha Puja,RnPPBj4nXaYIIlUbAQ3y,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-17T13:00:00Z
27,Gopuja Followed by Panchakshari 108 times,S7362z7wFirCTOazFqJ4,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-15T13:00:00Z
28,Kalyana Mahotsavam,S7ANU1BzDnhJRXbfMHSY,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-19T22:00:00Z
29,Rajashyamala Homam,To0fsqmM9HLQ5H6RjN8x,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-17T00:30:00Z
30,Theertha Prasadam,U9qUivmhCXNqChJ4dVG2,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-17T18:00:00Z
31,Theertha Prasadam,UHdKvG59QcZgMx6uKzCD,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-15T17:30:00Z
32,Chandi Homam,UopvB0pMQqANFVKTgvfY,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-15T22:00:00Z
33,Samuhika Kumkum Archana,WBKPjuvhawCnOijGnJQj,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-17T23:00:00Z
34,Theertha Prasadam,X4odnl4bzJ5RB4WzzBlZ,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-16T01:30:00Z
35,Punyahavachanam & Parishad Prayaschitta,YW2GBYYu7OzfhIPDwJIx,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-14T14:30:00Z
36,Mantrapushpam Followed by Prasadam,a8Fi236WgoiDUfg0xWG4,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-14T16:00:00Z
37,Procession of puja materials and deities into Yagashala,aAh37WB8k9bhq579lBXe,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-14T21:30:00Z
38,Prathyangira Homam,e2C5eHSrkCv2DvpSlYte,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-17T22:30:00Z
39,Panjagavya Prashanam,fY7oKrLVhUlInb4kRa5W,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-14T15:30:00Z
40,Rudra Homam,hAbG0RTFxCO1Bwe4A1Z9,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-19T13:30:00Z
41,Gomatha Puja,j6RNlD4y0dIK5X3FJoSd,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-16T13:00:00Z
42,Theertha Prasadam,jTRJdIxWf2c7I4s9zm9P,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-16T17:00:00Z
43,Mahanyasa Parayanam,kDbkJr9cZDpXaKCHhOYE,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-19T13:15:00Z
44,Panditha Sathkaram,l53v4qPJ0ULIPDqsAaQG,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-20T01:00:00Z
45,Avabhruta Snanam for Deeksha holder & Theertha Prasadam,lFmRogK77igSF1q9WcFf,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-19T18:00:00Z
46,Akhanda Deepa Aradhana,m6r4szhlIUyB0mKZAUjH,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-14T23:00:00Z
47,Rudra Homam,ofMIG0v6SDqoxMQ6Mtpl,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-18T15:00:00Z
48,Chandi Homam,pPJKioi2Xs8oWuKi94wa,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-16T22:00:00Z
49,Vastu Ganapati Homam,qu9pQmiPj9hthXIXrajK,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-15T00:30:00Z
50,Rudra Homam,rZyqn26VoUJRue8ttSiq,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-17T15:00:00Z
51,Theertha Prasadam,u56JtEKRlI0Kvl0ckgeL,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-18T01:00:00Z
52,Punyahavachanam,vnnfBVVeJZ50I6TiNGS5,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-14T22:30:00Z
53,"Durga, Saraswati, Gayatri, Lakshmi Homam",w0cmCTedIAClXvPWmItg,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-18T22:30:00Z
54,Aruna Homam,wa92MJ7WO0Af7kGTI6n4,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-16T15:30:00Z
55,Sudarshana Homam,xOXkpy81tCnGZowywuTr,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-17T16:30:00Z
56,Theertha Prasadam,xgNKQ6c4vwGNS8IUkbER,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-19T01:00:00Z
57,Dasha Sahasra Modaka Homam,xhZJOrssS5OifbA2ODse,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-15T16:30:00Z
58,Theertha Prasadam,y3EqehlRp9x2MpxWo3Xq,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-15T01:30:00Z
59,Ankurarpana (seed sowing ritual),y3bNRUAd2lwcWjcOPI57,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-14T23:45:00Z
